表示名,チャンネルID,参加配信数,総コメント数,初参加日,最終参加日,最終配信からの日数
@もつお-i5c,UCKgZiRc47aKHgYFxIoPClGg,2,2,2026-05-16,2026-05-24,46
@green-h3s,UCS4qK34QT7nsI8rWLYriGEg,1,4,2026-05-24,2026-05-24,46
@Rudy_Wolf29,UCgPIAR0BrlU14KNp2YTjgAA,1,3,2026-05-24,2026-05-24,46
@ひで0521,UCrzbVZORQNBFqrvZRPXWxkQ,1,2,2026-05-24,2026-05-24,46
@お兄ちゃんpn,UCu2iUuzl189MXB3oJe0vULg,1,2,2026-05-25,2026-05-25,45
@Meow33216,UCvJBoGyg0cXgHuKUzdj5pKA,1,8,2026-05-25,2026-05-25,45
@すまない革命ザンジバル,UCbnEgiPHl7i7HJQs8j4YYgw,21,302,2026-03-06,2026-05-28,42
@咲姫-SaK1,UCI8qcT3U33oAnIPxz_FmxzA,1,18,2026-05-28,2026-05-28,42
@ルート123,UCS7q3SgeK-SxqTGSZIr-VFQ,1,4,2026-05-28,2026-05-28,42
@サンダー高山,UCxtsJZWHqF8UR_Jb-8U8jMQ,1,3,2026-05-28,2026-05-28,42
@時カケル,UCTMFNzZmetuVA1KCn8C0vEg,9,101,2026-04-14,2026-05-29,41
@ダーキー-o8h,UCki3P_xDWc0Rit2g0m0Z2Hw,4,50,2026-05-28,2026-06-03,36
@Komorikanakusi,UC-yFKE7VGhuY9-sAAoSuFVw,1,1,2026-06-03,2026-06-03,36
@Sho_Nagakura,UC6zQ5ThMsO8bIJUC-EgrRCg,1,7,2026-06-03,2026-06-03,36
@雷電ニキ,UCjCiabq7LAYdarQAfWTzIIQ,1,18,2026-06-03,2026-06-03,36
@mikage3rd,UCaYALXQHMimlY_r4ZoQf8kg,1,5,2026-06-04,2026-06-04,35
@Irfan-Siluman-ular-putih,UC5K8NfZBNuLJe3HjBjSSoRA,12,49,2026-03-11,2026-06-07,32
@猫好き猫霊,UC2tMC8ndw0eEA07yiM0jgNQ,1,2,2026-06-09,2026-06-09,30
