表示名,チャンネルID,参加配信数,総コメント数,平均コメント数,初参加日,最終参加日
@深淵の月宮夕斗,UC1I_dW3wErVeXfCofPPklpg,3,3,1.0,2026-07-03,2026-07-05
@ロベルタ-j8p,UCzCaZb-7aYO2mLvXKDLFp6g,2,96,48.0,2026-03-24,2026-03-25
@すずなゆい,UCmZU4JprVH8AOd8ABABc0uA,2,87,43.5,2026-04-29,2026-05-04
@カラス043,UC24m2AObEo8pu0MKAFWGf4g,2,57,28.5,2026-06-12,2026-06-19
@ヒースNo-gl2bj,UCSpBqAC8_OXKZT1eRvGQ7-Q,2,47,23.5,2025-05-29,2025-06-06
@モノクロ-JOJOer,UCnToJIb6EFEU7zCXzihXJPw,2,41,20.5,2026-07-04,2026-07-05
@タヌちゃんhomura,UCVHPdRSzQB73OlWGp1gcFjA,2,30,15.0,2026-02-13,2026-02-25
@cherry_blossom__ice-cream,UCzMsQmXrk7Gt5BxR8vQC6fQ,2,21,10.5,2026-03-09,2026-03-24
@よっぱっぱver2,UCV6lgFySbnWSKVUI1ZouaKA,2,20,10.0,2026-07-07,2026-07-09
@まな板パツキンおじさん校長,UCPy5FvCUulqiNuxjD3pRf4Q,2,19,9.5,2026-02-17,2026-02-24
@くろもち-j9h,UCH5-YiYC0jHiztUDWB80A5A,2,13,6.5,2026-02-17,2026-02-27
@命ゆんみちゃん,UCjqsYwig3EnyB9hDcZfIR3w,2,13,6.5,2026-03-13,2026-03-17
@まさまる-papa,UCVrDp4ujC9sB5T_mN1r1p0g,2,12,6.0,2026-06-03,2026-06-13
@コメット-18,UCdyZWdax_BVxPcT44Klll4Q,2,11,5.5,2026-06-25,2026-06-28
@ヒナト-e6z,UCK8eXrL4JP_IusbP2ezzZKQ,2,9,4.5,2026-06-12,2026-06-13
@Kくん0321,UC4BFZKfYe8Ln1cIR3aU40tg,2,8,4.0,2026-03-19,2026-07-05
@黄色い悪魔onちゃん,UCmjjj8Drq3_Ch4dSEJC7fJw,2,7,3.5,2026-06-23,2026-06-24
@三島弘太郎-f9c,UCJ5rx3w8oDurn_3PabDCLNQ,2,6,3.0,2026-03-01,2026-05-16
@けん-n8c9n,UCikC6YyHLN2xOvQb5YgKsaA,2,6,3.0,2026-06-12,2026-06-13
@甜美杏,UC6TCIwskG01zO-LxxxdzOfg,2,5,2.5,2026-06-23,2026-06-30
@釜戸炭慈朗,UCR2amH70XAhqM9--4jCGZuQ,2,4,2.0,2026-04-29,2026-05-01
@日乃本レンch4457,UCRMHyEPGf_najrAfObanpHQ,2,3,1.5,2026-04-29,2026-05-04
@mono_marimoVT,UCmSX7p--K3Pvcvy67CHcp2A,2,3,1.5,2026-04-29,2026-06-27
@もつお-i5c,UCKgZiRc47aKHgYFxIoPClGg,2,2,1.0,2026-05-16,2026-05-24
@女神りこ,UCOYrRKWqBfRLwrDNrRORAXg,2,2,1.0,2026-03-19,2026-06-28
@sorairo-topolino,UCja-1kuXMPbboJFUYOwVCnQ,2,2,1.0,2026-06-07,2026-06-27
@ぼっち_よっち,UCuIy2FAECL1fYL8bXbjlRYQ,1,36,36.0,2026-02-25,2026-02-25
@石津浜,UC2CQrvOLPBCBuXEJofjceAg,1,30,30.0,2026-03-08,2026-03-08
@K_H0822,UClbiYIE9_-hZU_TGcqPGKDA,1,23,23.0,2026-04-29,2026-04-29
@咲姫-SaK1,UCI8qcT3U33oAnIPxz_FmxzA,1,18,18.0,2026-05-28,2026-05-28
@雷電ニキ,UCjCiabq7LAYdarQAfWTzIIQ,1,18,18.0,2026-06-03,2026-06-03
@サラダの人-r1y,UCNrbOVU7yOHUFnYBHV4aZOg,1,17,17.0,2026-04-29,2026-04-29
@おつる-e2n,UCT6bv38h40W8dJ-cLI9diUA,1,17,17.0,2026-02-25,2026-02-25
@y_kasugano,UCizyAlk1gyf_rYBVWa35QEw,1,14,14.0,2026-03-09,2026-03-09
@タク-k8f,UCxldyyHzDRFs38x8K_vJgvw,1,13,13.0,2026-04-20,2026-04-20
@水飴-m6l,UCzJF8EfIGizdOMjPPjcdtUA,1,12,12.0,2026-04-21,2026-04-21
@MEIKOSAMA,UC1YiVnawJZhfZE2YyGIZYQg,1,11,11.0,2026-03-04,2026-03-04
@ファルネリア,UCs5IoEiC_B_ON_A_86wpFAw,1,9,9.0,2026-04-24,2026-04-24
@ヒロさん-g1j,UC3Kwz6R9n7eJ2Of42iDUm5Q,1,8,8.0,2026-04-20,2026-04-20
@GANDENガンデン,UCp2_QxCYxRoiyzUEQBMI_qg,1,8,8.0,2026-04-22,2026-04-22
@gura1498,UCqf5rdeR0sX4tVomHcArenw,1,8,8.0,2026-06-27,2026-06-27
@恵輔-w6s,UCrn7WdSz3C_8IiNzMDtlvzA,1,8,8.0,2026-02-27,2026-02-27
@Meow33216,UCvJBoGyg0cXgHuKUzdj5pKA,1,8,8.0,2026-05-25,2026-05-25
@Sho_Nagakura,UC6zQ5ThMsO8bIJUC-EgrRCg,1,7,7.0,2026-06-03,2026-06-03
@はるきち-haru,UC7_B2zeq2k_HXn5lVlW6ZMQ,1,7,7.0,2026-03-24,2026-03-24
@因幡朔夜-v4r,UCWVwjG3TzN28XLR1yHZbmHg,1,7,7.0,2026-03-17,2026-03-17
@はばらさん,UCC4sGWloJYS0RzDYoHdw3Cg,1,6,6.0,2026-06-24,2026-06-24
@ぴよトマ,UCW-M1aLYE4qWUXUP9sBSP5A,1,6,6.0,2026-04-02,2026-04-02
@きなこ509,UCbGr3c0MiKbjNamWaryGB9A,1,6,6.0,2026-03-27,2026-03-27
@なんとなく-N,UCkZTNqZkIba52IlF0tBuC5w,1,6,6.0,2026-06-27,2026-06-27
@如城皐月_ゆきしろさつき,UC-JtYNMfdwcLvxeZu_VO6Bw,1,5,5.0,2026-03-09,2026-03-09
@korichu,UCF086LPbebMzlA3e1WKlQ9A,1,5,5.0,2026-04-29,2026-04-29
@strudel_ai_music,UCNrfs4rv3yY_Z4KVNv6glsg,1,5,5.0,2026-03-09,2026-03-09
@mikage3rd,UCaYALXQHMimlY_r4ZoQf8kg,1,5,5.0,2026-06-04,2026-06-04
@やままこあにょんちょ,UCbJ3ZK679VxbWBSW_3z1beg,1,5,5.0,2026-04-29,2026-04-29
@月海-つくみ,UCcU3H8bcJVCT_OnoRdhClag,1,5,5.0,2026-03-14,2026-03-14
@green-h3s,UCS4qK34QT7nsI8rWLYriGEg,1,4,4.0,2026-05-24,2026-05-24
@ルート123,UCS7q3SgeK-SxqTGSZIr-VFQ,1,4,4.0,2026-05-28,2026-05-28
@雨雲凛,UCYsXObOq50mh3iiYmc79rFQ,1,4,4.0,2026-07-09,2026-07-09
@サターン-e5q,UCcdUey3ough6JUoebo3UZBg,1,4,4.0,2026-03-19,2026-03-19
@Mタカ-w1e,UChmntZB4vuEfGBOpXjOoObg,1,4,4.0,2026-03-11,2026-03-11
@Silvy_mahjong,UCvIBS3h4bFq3bMLwV7PL-8g,1,4,4.0,2026-04-29,2026-04-29
@メモたん1,UCzF5OwNp_o1IM-CsZp2zzEQ,1,4,4.0,2026-04-13,2026-04-13
@鈴木康修-u4d,UCzrdrmGDJxohu6qCv0axyEg,1,4,4.0,2026-03-09,2026-03-09
@MoimoiPlanet,UC3cT_gIlUJ3UzfBMchXrBfg,1,3,3.0,2026-05-21,2026-05-21
@小指を,UCE6X48JAvEmZwT6PKA9ddzw,1,3,3.0,2026-05-01,2026-05-01
@RAY---RAY,UCL0A17vDqFSoyKfswUSkuKw,1,3,3.0,2026-02-27,2026-02-27
@冨田孝寛とみだたかひろ,UCQ1nedOBYZMtlr5hcQ4FgTg,1,3,3.0,2026-02-17,2026-02-17
@SuzukiNaoki_RMU,UCYFk4E4rFwwJ8SfsQlBRzLw,1,3,3.0,2026-03-09,2026-03-09
@青空-e7o,UCYqfkPvuc0Tb1bRUmS4Vf0g,1,3,3.0,2026-04-17,2026-04-17
@CPUかっこ普通とじる方のかっこ,UCbwxyE5CKm1ke7laFzwRy9Q,1,3,3.0,2026-03-11,2026-03-11
@ふりこみウーラ,UCdIXpzvj6sT2ywLWRIbNuAA,1,3,3.0,2026-03-05,2026-03-05
@Rudy_Wolf29,UCgPIAR0BrlU14KNp2YTjgAA,1,3,3.0,2026-05-24,2026-05-24
@たっちゃんリフト,UCi6o4Uh8McqaGvlQOynI_3Q,1,3,3.0,2026-04-29,2026-04-29
@kn_mkbo,UCvbwSuPOYHDBeQK3IkzAW1g,1,3,3.0,2026-06-21,2026-06-21
@サンダー高山,UCxtsJZWHqF8UR_Jb-8U8jMQ,1,3,3.0,2026-05-28,2026-05-28
